Geography,2010,2011,2012,2013,2014,2015
Massachusetts,6547629,6611923,6658008,6706786,6749911,6784240
Barnstable,215888,215372,214915,214844,214858,214621
Berkshire,131219,130515,130201,129409,128633,127671
Bristol,548285,549400,551341,552637,555071,556967
Dukes,16535,16678,16793,17146,17283,17217
Essex,743159,751507,757163,764129,770391,776111
Franklin,71372,71606,71536,71149,70965,70550
Hampden,463490,465973,466578,467206,469033,469078
Hampshire,158080,160134,160418,160851,161043,161049
Middlesex,1503085,1523717,1540330,1556956,1569953,1581037
Nantucket,10172,10137,10312,10529,10765,10858
Norfolk,670850,678262,683121,688749,692143,694895
Plymouth,494919,498268,499622,503281,506937,509880
Suffolk,722023,736602,749469,759670,768537,776688
Worcester,798552,803752,806209,810230,814299,817618
