State,MedianIncome
United States,"53,713"
Alabama,"42,895"
Alaska,"71,671"
Arizona,"50,094"
Arkansas,"41,302"
California,"61,990"
Colorado,"61,351"
Connecticut,"70,112"
Delaware,"59,746"
District of Columbia,"71,659"
Florida,"47,496"
Georgia,"49,360"
Hawaii,"69,615"
Idaho,"47,890"
Illinois,"57,478"
Indiana,"49,484"
Iowa,"53,771"
Kansas,"52,556"
Kentucky,"43,014"
Louisiana,"44,601"
Maine,"49,527"
Maryland,"74,070"
Massachusetts,"69,223"
Michigan,"49,874"
Minnesota,"61,535"
Mississippi,"39,702"
Missouri,"48,401"
Montana,"46,363"
Nebraska,"52,707"
Nevada,"51,500"
New Hampshire,"66,557"
New Jersey,"71,994"
New Mexico,"44,837"
New York,"58,928"
North Carolina,"46,585"
North Dakota,"59,039"
Ohio,"49,340"
Oklahoma,"47,575"
Oregon,"51,124"
Pennsylvania,"53,290"
Rhode Island,"54,978"
South Carolina,"45,277"
South Dakota,"51,012"
Tennessee,"44,403"
Texas,"53,105"
Utah,"60,976"
Vermont,"54,205"
Virginia,"64,982"
Washington,"61,426"
West Virginia,"41,073"
Wisconsin,"52,709"
Wyoming,"57,080"
